,id,completionDate,completionDateType,summary,description,conditions,studyType,eligibilityCriteria,healthyVolunteers,sex,minimumAge,maximumAge,references
476114,NCT05712083,2024-04-01,ESTIMATED,Clinical Trial for the Safety and Efficacy of BCMA CAR-T Cell Therapy for Newly Diagnosed Multiple Myeloma,"This is a single arm, open-label, single-center study. This study is indicated for newly diagnosed multiple myeloma. The selections of dose levels and the number of subjects are based on clinical trials of similar foreign products. 40 patients will be enrolled. Primary objective is to explore the safety and efficacy","['Multiple Myeloma', 'New Diagnosis Tumor']",INTERVENTIONAL,"Inclusion Criteria:

* 1.Age and gender unlimited;
* 2.According to the IMWG2014 standard, diagnosis as multiple myeloma;
* 3.According to the MSMART 3.0 standard, it is defined as a high-risk multiple myeloma;
* 4.Abnormal plasmocyte BCMA expression positive;
* 5.Echocardiography shows the left ventricular ejection score (LVEF) ≥50%;
* 6.The subject has no lung activity infection;
* 7.Expected life time is more than 3 months;
* 8.ECOG score 0-2 score;
* 9.Voluntarily participate in the trial and sign the informed consent form.

Exclusion Criteria:

* 1.Patients with the history of epilepsy or other CNS disease;
* 2.Patients with prolonged QT interval time or severe heart disease;
* 3.Pregnant or breastfeeding;
* 4.Active infection with no cure;
* 5.Patients with active hepatitis B or C infection;
* 6.Previously treated with any genetic therapy;
* 7.The proiferation rate is less than 5 times response to CD3/CD28 co-stimulation signal;
* 8.Serum creatinine \> 2.5mg/dl or ALT / AST \> 3 times ULN or bilirubin \> 2.0mg/dl;
* 9.Those who suffer from other uncontrolled diseases are not suitable to join the study;
* 10.HIV infection;
* 11.Any situation that the researchers believe may increase the risk of patients or interfere with the test results.",False,ALL,,,
412577,NCT05207813,2024-02-01,ACTUAL,"This is a prospective, noninterventional, observational post market data collection of long-term effectiveness and satisfaction outcomes for ""A Prospective, Open-Label, Single-Arm Study of Intraosseous Basivertebral Nerve Ablation for the Treatment of Chronic Low Back Pain (CLBP Single-Arm Study)"" population at three (3), four (4), and five (5) years post Intracept Procedure. The working hypothesis is that data collected in this study will demonstrate safety, efficacy, durability and reproducibility of BVN ablation treatment outcomes out to 3, 4, and 5-years post-procedure.",,['Chronic Low Back Pain'],OBSERVATIONAL,"Inclusion Criteria:

- Patient received the Intracept procedure while participating in ""A Prospective, Open-Label, Single-Arm Study of Intraosseous Basivertebral Nerve Ablation for the Treatment of Chronic Low Back Pain (CLBP Single-Arm Long-Term Study)""

Exclusion Criteria:

- None",False,ALL,25 Years,70 Years,"[{'pmid': '31115683', 'type': 'RESULT', 'citation': 'Truumees E, Macadaeg K, Pena E, Arbuckle J 2nd, Gentile J 2nd, Funk R, Singh D, Vinayek S. A prospective, open-label, single-arm, multi-center study of intraosseous basivertebral nerve ablation for the treatment of chronic low back pain. Eur Spine J. 2019 Jul;28(7):1594-1602. doi: 10.1007/s00586-019-05995-2. Epub 2019 May 21.'}, {'pmid': '35141598', 'type': 'RESULT', 'citation': 'Macadaeg K, Truumees E, Boody B, Pena E, Arbuckle J 2nd, Gentile J, Funk R, Singh D, Vinayek S. A prospective, single arm study of intraosseous basivertebral nerve ablation for the treatment of chronic low back pain: 12-month results. N Am Spine Soc J. 2020 Sep 18;3:100030. doi: 10.1016/j.xnsj.2020.100030. eCollection 2020 Oct. Erratum In: N Am Spine Soc J. 2020 Dec 01;4:100039. doi: 10.1016/j.xnsj.2020.100039.'}]"
363491,NCT01817166,2023-01-04,ACTUAL,The main objective of this study is to evaluate the efficacy and tolerance of 2 years of treatment with cholecalciferol (vitamin D3) in patients with a clinically isolated syndrome at high risk for MS (CIS).,"The secondary objectives of this study are:

A. evaluate clinical efficacy: delay to conversion; number of relapses/episodes per year B. evaluate efficacy in terms of resonance imaging parameters (cerebral/spinal MRI) C. evaluate efficacy in terms of slowing the progression of disability as measured by EDSS score and subscores D. measure and assess cognitive abilities (PASAT) E. evaluate changes in quality of life (EQ5D questionnaires, SF36, and TLS-TLS-QoL10 COPING10), fatigue questionnaire (FSMC) and anxiety / depression questionnaire (HADS) F. evaluate treatment tolerance G. to correlate changes in clinical and imaging parameters with the evolution of serum levels of 25(OH)D2 and 25(OH)D3 H. establish a biobank of DNA and RNA from all patients in the study and conduct analyses of gene polymorphisms involved in the metabolism of vitamin D and the HLA system based on the increased levels of vitamin D after supplementation I. establish a biobank of CSF, plasma, blood cells, serum and RNA samples for patients in selected centers for research on prognostic biomarkers of conversion J. establish a biobank consisting of plasma tubes collected for the determination of 25-hydroxy-vitamin D K. Estimate the rate of discordance between the conversion decision made by the study neurologist and the result of the MRI re-interpretation performed at the end of the study as well as the proportion of patients identified a posteriori as as erroneously included according to the centralized reading.",['Multiple Sclerosis'],INTERVENTIONAL,"Inclusion Criteria:

* The patient must have given his/her informed and signed consent
* The patient must be insured or beneficiary of a health insurance plan
* The patient is available for 24 months of follow-up
* The patient has had a classic CIS with the past 90 days
* Reference cerebro-medullary MRI scheduled within the 90 days after the beginning of symptoms
* With MRI (cerebro ± medullary) showing demyelination according to spatial spread criteria by Swanton (2006):
* At least 1 lesion in at least 2 of the 4 following territories: (1) Peri-ventricular; (2) Juxta-cortical; (3) Sub-tentorial; (4) Medullary
* No other suspected pathology
* Vitamin D level in blood less than 100 nmol / l at the pre-inclusion visit
* Women of childbearing potential must use very effective contraception for the duration of the study. A very effective contraceptive method is defined as a method resulting in a low failure rate (that is to say less than 1% per year) when used consistently and correctly, such as implants, injectables, combined oral contraceptives, IUDs, sexual abstinence, or partner with a vasectomy.

Randomisation stratification criteria:

* The patient can also also meet the temporal dissemination criteria defined according to McDonald criteria 2010 (Polman et al., 2011), because this condition is currently not sufficient for prescribing a background treatment: Simultaneous presence of at least one asymptomatic lesion taking on contrast and at least one asymptomatic lesion not taking on contrast after injection of gadolinium

Exclusion Criteria:

* The patient is participating in another study (this criteria does not apply to the POLAR study (RCB 2011-A01269-32); patients included in this study may simultaneously participate in the POLAR study)
* The patient is in an exclusion period determined by a previous study
* The patient is under judicial protection, under tutorship or curatorship
* The patient refuses to sign the consent
* It is impossible to correctly inform the patient
* The patient is pregnant, parturient, or breastfeeding
* Major medical or psychiatric illness that, according to the investigator, would result in the patient running an unnecessary risk or that could affect compliance with the study protocol
* Vitamin D insufficiency linked to currently active digestive or more general diseases (celiac disease, inflammatory bowel disease, intestinal bypass, short bowel syndrome, cirrhosis, nephrotic syndrome, hyperthyroidism, rickets, hypoparathyroidism, cancer, granulomatous diseases and lymphomas)
* Moderate or severe renal insufficiency (creatinine clearance less than 60 ml / min)
* Epilepsy not adequately controlled by treatment
* Any illness requiring chronic treatment with corticosteroids
* Patient with osteoporosis or history of osteopenia
* Pathology requiring calcium intakes greater than 1 gram per day
* Current or past history of hypercalcemia
* Medications that affect the metabolism of vitamin D other than corticosteroids; e.g. anticonvulsants \[phenobarbital, primidone, phenytoin\] rifampicin, isoniazid, ketoconazole, 5-FU and leucovorin, thiazide diuretics.
* Situations accompanied by increased vulnerability to hypercalcemia, e.g. arrhythmia or known heart disease, treatment with digitalis, and subjects with nephrolithiasis.
* Contraindications to vitamin D3 as mentioned in the documentation for UVEDOSE
* Known hypersensitivity to gadolinium and / or known inability to undergo an MRI (pacemaker, osteosynthesis material, intraocular metal splinter, etc ....).",False,ALL,18 Years,56 Years,
1501,NCT03634579,2019-03-15,ACTUAL,"The study is a prospective, single-arm, non-randomized, unblinded trial to determine the safety and efficacy of MRI guided focal laser ablation of localized low and intermediate risk prostate cancer. All subjects meeting the inclusion exclusion criteria and are enrolled will undergo a MRI guided focal laser ablation procedure. The primary aim of the study is to study the safety and efficacy of the procedure.","Prostate cancer should be viewed as a spectrum of diseases ranging from a very indolent low-risk process to an aggressive high-risk potentially fatal disease. Active surveillance has been introduced as an alternative treatment to patients with low- risk prostate cancers.Focal therapy techniques have been introduced in prostate cancer to destroy the tumor itself with adequate safety margin with the advantage of preserving the surrounding non-cancerous tissue. Thus maintaining disease control at acceptable levels, while minimizing complications.

With the advent of multiparametric MRI (Mp-MRI), it is now possible to identify suspicious prostate gland focal lesions, determining their extent and targeting them for biopsy and focal ablation. Laser interstitial thermal therapy (LITT) is well suited for MRI environment. Laser fibers are flexible so they can fit into the MRI gantry. Laser has been shown to produce homogenous tissue necrosis that can be monitored by real time temperature maps, a feature that facilitates effective and safe ablation.

20 subjects with localized low and intermediate risk prostate cancer that meet the inclusion and exclusion criteria will be enrolled. During baseline evaluation, subjects will undergo lab tests, MR imaging, and will complete QOL questionnaires. Subsequently, subjects will undergo the Magnetic Resonance Imaging (MRI) Guided Focal Laser Interstitial Thermal Ablation procedure. Subjects will be followed immediately after the procedure, at 3 weeks, 3 months, 6 months, one year and two years after procedure for adverse events and recurrence of prostate cancer",['Prostate Cancer'],INTERVENTIONAL,"Inclusion Criteria:

* Age ≥18 years
* Patients with primary organ confined prostate cancer (≤T2c) and Gleason score ≤4+3=7

  * Lesions visible on multiparametric MRI and subsequently diagnosed by targeted MRI guided biopsy

Exclusion Criteria:

* Multifocal intra-prostatic disease, defined as the presence the presence of ≥ 3 non- contiguous pathologically proven foci of cancer.
* Gleason score \>4+3=7.
* Extracapsular spread.
* Nodal or distant metastasis
* Contraindications to MRI or general anesthesia.
* Uncorrectable Coagulopathy.
* Refusal of participation.
* Lesions not visualized on the multiparametric MRI",False,MALE,18 Years,,
446926,NCT02154815,2020-09,ESTIMATED,"The main objective is to assess the psychological impact of pre-emptive kidney transplantation on patients' quality of life taking into account psychological adjustment (response shift), compared to patients who have experienced a short pre-transplant dialysis period of less than 36 months.","The following outcomes will also be compared between Patients with Pre-emptive Transplantation and Patients with Dialysis before Transplantation : a) changes in quality of life, subjective well-being, perceived anxiety and depressive disorders as well as perceived stress during follow-up taking into account psychological adjustment (response shift) ; b) The coping strategies (process of managing stressful circumstances) and post-traumatic growth (positive psychological change experienced as a result of the struggle with highly challenging life circumstances) ; c) The 2-year post transplantation graft survival and patient outcomes: evolution of the Graft Filtration Rate, the proteinuria level ; d) The Kidney Transplant Failure Score (KTFS, patent N°0959043) at one year post transplantation ; e) The post-transplantation time to return to work and patients compliance to treatment.","['Renal Insuffiency', 'Kidney Transplantation']",OBSERVATIONAL,"Inclusion Criteria:

* Adult patients with a pre-emptive transplantation from deceased and living donor and patients who have experienced a pre-transplant dialysis period of less than 36 months (matched inclusion on recipient gender and center).
* Only first and single kidney transplantation will be considered.

Exclusion Criteria:

* Re-transplantation or simultaneous transplantation (kidney-pancreas for instance)
* Patients under guardianship.",False,ALL,18 Years,,"[{'pmid': '26785745', 'type': 'DERIVED', 'citation': 'Sebille V, Hardouin JB, Giral M, Bonnaud-Antignac A, Tessier P, Papuchon E, Jobert A, Faurel-Paul E, Gentile S, Cassuto E, Morelon E, Rostaing L, Glotz D, Sberro-Soussan R, Foucher Y, Meurette A. Prospective, multicenter, controlled study of quality of life, psychological adjustment process and medical outcomes of patients receiving a preemptive kidney transplant compared to a similar population of recipients after a dialysis period of less than three years--The PreKit-QoL study protocol. BMC Nephrol. 2016 Jan 19;17:11. doi: 10.1186/s12882-016-0225-7.'}]"
85960,NCT03806894,2020-12,ESTIMATED,Clopidogrel is an anti-platelet agent used to inhibit blood clots. Variation in response to clopidogrel has been reported among different population and may lead to reoccurring ischemic events. The aim of the present study is to evaluate the incidence of clopidogrel resistance in ischemic stroke patients from different ethnicities in Northern Israel and to find different strategies to overcome high platelet reactivity including clopidogrel dose adjustment or the choice of alternative agents. Quantification of platelet aggregation will be determined by vasodilator stimulated phosphoprotein (VASP) assay.,,"['Clopidogrel, Poor Metabolism of', 'Ischemic Stroke']",OBSERVATIONAL,"Inclusion Criteria:

1. Ability to provide written informed consent and to be compliant with protocol assessments.
2. Ages 18 and above inclusive
3. Both genders eligible for the study
4. Diagnosis of ischemic cerebrovascular event

Exclusion Criteria:

1. Pregnant patients will be excluded
2. Ages below 18
3. Patients not able to provide informed consent",False,ALL,18 Years,,
73611,NCT06215729,2024-04-15,ESTIMATED,"This is a multicenter randomized controlled study. The study recruited stroke patients with mild cognitive impairment and dysphagia who were undergoing inpatient rehabilitation treatment in three hospitals in mainland China as the participants (study subjects). The study duration for each participant was 15 days. The subjects were randomly divided into an experimental group and a control group. During the treatment, all patients received routine rehabilitation treatment. In addition, patients in the control group received conventional cognitive training, while patients in the experimental group received computer-assisted cognitive training.","Computer-assisted cognitive training is a rehabilitation method that uses computer technology and psychological principles to promote the recovery of cognitive function.This is a multicenter randomized controlled study. The study recruited stroke patients with mild cognitive impairment and dysphagia who were undergoing inpatient rehabilitation treatment in three hospitals in mainland China as the participants (study subjects). The study duration for each participant was 15 days. The subjects were randomly divided into an experimental group and a control group. During the treatment, all patients received routine rehabilitation treatment. In addition, patients in the control group received conventional cognitive training, while patients in the experimental group received computer-assisted cognitive training.","['Dysphagia', 'Cognitive Impairment', 'Stroke']",INTERVENTIONAL,"Inclusion Criteria:

* Age ≥ 18 years.
* Meeting the diagnostic criteria for traumatic brain injury, confirmed by magnetic resonance imaging or CT scan.
* Montreal Cognitive Assessment score \< 26 and \> 18 (adjusted by 1 point if the educational level is high school graduation or above).
* Confirmed swallowing disorder through Fiberoptic Endoscopic Examination of Swallowing.
* Duration of illness greater than three months.
* Patients or their family members are aware of and consent to participate in the study.

Exclusion Criteria:

* Presence of other intracranial lesions, such as stroke.
* Cognitive impairment caused by other diseases.
* Mental abnormalities.
* Inability to complete treatment and assessments due to other impairments.
* Concurrent severe injuries.",False,ALL,18 Years,,
448064,NCT00501085,2013-11,ACTUAL,The purpose of this study is to evaluate the LAP-BAND AP System in severely obese patients.,"The primary objective of this study was to collect additional information about the safety and effectiveness of the LAP-BAND AP System in a real-life clinical setting. Effectiveness was assessed through the collection of weight loss data, as well as other secondary effectiveness measurements. Safety was assessed by the incidence and severity of adverse events (AEs) related to treatment.","['Obesity, Morbid']",OBSERVATIONAL,"Inclusion Criteria:

* Patient is scheduled to receive the LAP-BAND AP System
* Willingness to follow protocol requirements, including: the Informed Consent Form (ICF), Health Insurance Portability and Accountability Act (HIPAA) forms, follow-up schedule, completion of patient questionnaires.

Exclusion Criteria:

* Per the LAP-BAND AP System Directions For Use (DFU)",False,ALL,18 Years,,"[{'pmid': '24328415', 'type': 'DERIVED', 'citation': 'Ponce J, Taheri S, Lusco V, Cornell C, Ng-Mak DS, Shi R, Okerson T. Efficacy and safety of the adjustable gastric band - pooled interim analysis of the APEX and HERO studies at 48 weeks. Curr Med Res Opin. 2014 May;30(5):841-8. doi: 10.1185/03007995.2013.874992. Epub 2014 Jan 16.'}, {'pmid': '24328387', 'type': 'DERIVED', 'citation': 'Fusco M, James S, Cornell C, Okerson T. Weight loss through adjustable gastric banding and improvement in daytime sleepiness: 2 year interim results of APEX study. Curr Med Res Opin. 2014 May;30(5):849-55. doi: 10.1185/03007995.2013.874991. Epub 2014 Jan 17.'}, {'pmid': '22913906', 'type': 'DERIVED', 'citation': 'Shayani V, Voellinger D, Liu C, Cornell C, Okerson T. Safety and efficacy of the LAP-BAND AP(R) adjustable gastric band in the treatment of obesity: results at 2 years. Postgrad Med. 2012 Jul;124(4):181-8. doi: 10.3810/pgm.2012.07.2561.'}]"
304429,NCT03025568,2017-10,ESTIMATED,Evaluation of the retention of upper removable partial denture constructed from two different flexible thermoplastic materials.(BRE-FLEX and PEEK).,"The assessor is responsible for all clinical procedure that will be conducted in this study during all the visits:

Panoramic radiograph and periapical radiographs will be made on the prospected abutment teeth to evaluate the crown-root ratio, the apical condition of the abutment and their alveolar bone support.

The preliminary impression will be performed with irreversible hydro-colloid impression material (alginate), The impressions will be poured with type IV dental stone to obtain diagnostic casts. Maxillary Face-bow will be recorded. The diagnostic casts will be mounted on semi adjustable articulator in centric occluding relation to evaluate the interarch distance and occlusal plane.

Special trays will be constructed and Mouth preparation will be performed by preparing guiding planes and rests seats will be prepared opposing to the edentulous area.

Final impression will be taken by elastomeric impression material. The impression will be poured into type IV dental stone in order to obtain master cast. The master cast will be surveyed. The proposed design will be as follows: metal framework base saddle for edentulous areas on both sides connected with palatal strap. Aker's clasp on all abutments with buccal retention. The denture base will be tried in with acrylic teeth in patient's mouth. After that, the denture base of the partial denture will be processed incorporation with the metal framework into the two different materials to be evaluated. The first group will receive the partial denture in which the metal framework incorporated with the denture base fabricated from PEEK material. The second group will receive the partial denture in which the metal framework incorporated with the denture base material fabricated from BRE-FLEX",['Retention'],INTERVENTIONAL,"Inclusion Criteria:

* All patients must have Kennedy class III modification I upper partially edentulous ridges.
* The remaining teeth have good periodontal condition, with no signs of attrition or gingival recession.
* Male or female patient with age range (45-55) and in good medical condition
* All patients have skeletal Angle's class I maxillo-mandibular relationship and have sufficient interarch distance.
* Free from any systemic or neuromuscular disorder that might affect chewing efficiency of masticatory muscles.
* Free from any tempro-mandibular joint disorder.
* The patients have good oral hygiene and low caries index.

Exclusion Criteria:

* Patients having abnormal habits as bruxism or clenching
* Patients having hormonal disorders as diabetes, thyroid or parathyroid hormonal diseases were not included.
* Teeth with compromised bone support.
* Patient with xerostomia or excessive salivation.
* Patient with abnormal tongue behavior and/or size.",True,ALL,45 Years,55 Years,
203173,NCT04425707,2020-09-01,ESTIMATED,"as Egypt suffered a lot during the pandemic of COVID 19 with limited drug choices, many of the patients could not acheive viral clearence with the standard module of care teh idea of introduction of new medications in the treatment protocol of COVID 19 managment. Ivermectin had shown a promising results in vitro studies and in limited in vivo studies. this clinical trial may open a new hope for COVID 19 patients as a new and cheap line of treatment",the study will compare the effect of ivermectin in comaprison and addition to the standard mode of care for the COVID 19 patients,['Covid19'],INTERVENTIONAL,"Inclusion Criteria:

* Asymptomatic mild cases and moderate cases proven to be infected by COVID 19 by viral RNA swap

Exclusion Criteria:

* Contraindications for the drug: hypersensitivity.
* Any medications with possible drug interactions.
* Severe cases.
* Any malignant condition.
* Pregnant females.
* Breast feeding females.
* Any patient on the following medications: Erdafitinib- Lasmiditan- Quinidine due to potential severe drug interaction.",False,ALL,18 Years,,
124913,NCT03339622,2019-02-08,ACTUAL,"Cancer causes pain in many of the patients that it affects. Physicians specialized in palliative care help advanced cancer patients to maintain as good pain control as possible through the use of medications such as opioids. Even with palliative care and optimal use of medications, many patients still suffer enormously as the cancer spreads. Because of this, some cancer patients also try or use cannabis in different ways to relieve their pain and improve the way they feel. However, there has not been much high-quality research done yet to prove whether or not cannabis products are truly useful to relieve severe cancer pain. This study is to test if advanced cancer patients who use inhaled medical cannabis (PPP001), in addition to palliative care management, will experience improvement in quality of life and relieve uncontrolled pain, providing safety conditions.","This is a 4-week randomized, double-blind, placebo-controlled, parallel group design trial to evaluate the safety and efficacy of inhaled PPP001 to improve quality of life (HRQoL) and reduce pain intensity, in patients with uncontrolled cancer pain and incurable malignancy.

Nine hundred forty six adult patients, male and female, with chronic cancer pain (at least 3 months in duration) and advanced disease, with an average weekly pain intensity score greater than 4 on a 11 points Numerical Rate Scale (NRS), will be prospectively recruited and invited to participate in this trial.

Informed consent will be obtained by a Research Assistant.

After baseline documentation with standardized scales, patients will be randomized to one of 2 parallel groups:

Group A: 4 weeks PPP001-kit three times daily; Group B: 4 weeks placebo-kit three times daily; The inhalation of PPP001 or placebo-kit will be allowed three times a day at 4-6 hour intervals. Rescue medication will also be allowed.

Patients will have a dose titration phase during the first week, followed by an additional 3-week period of treatment. The dose escalation will allow patients to adapt to the potential AEs of cannabis.

Patients will have follow-up after 1 week and 4 weeks of treatment. Once the patient has completed 4 weeks of inhaled PPP001 or placebo, it will be rolled into a long-term follow-up phase until drop-out or death. All patients, including the ones in the placebo group, will be allowed to receive the active treatment once the 4-weeks trial has finished, and continue it until death or drop-out.","['Cancer', 'Chronic Pain Due to Malignancy (Finding)']",INTERVENTIONAL,"Inclusion Criteria:

1. Written informed consent
2. Adult male and female patients at least 18 years of age
3. Subject agreed to follow the protocol
4. Advanced cancer for which there is no known curative therapy
5. Patients experiencing pain ≥4 on NRS due to cancer related pain
6. Life expectancy six weeks or longer
7. PPI score less than or equal to 4 (survival more than 6 weeks)
8. PPS greater than or equal 70%
9. PaP Score Group A (30-day survival probability \>70%)
10. An Eastern Cooperative Oncology Group (ECOG) performance status of 0, 1 or 2
11. The patient has a clinical diagnosis of cancer related pain, which is not alleviated with their current optimized opioid treatment
12. The patient is using no more than one type of breakthrough opioid analgesia
13. Normal cognitive status according to MDAS and MiniCog
14. Normal liver function (defined as aspartate aminotransferase 10-40 U/L and alanine aminotransferase 7-56 U/L)
15. Normal renal function (defined as serum creatinine level \<133 µmol/L and Estimated Glomerular Filtration Rate (eGFR) greater than or equal to 60)
16. The patient is able to perform deep inhalations and hold breath for at least 5 to 10 seconds. If there is any pulmonary disease diagnosed previously (obstructive and/or restrictive pathology), the patient must be able to perform a maximal inhalation of at least 12-15 ml/kg measured with an incentive spirometer, followed by a normal exhalation
17. Ability to read and respond to questions in French or English.
18. Previous or current use of opioid analgesics (at least 1 week)
19. A female volunteer must meet one of the following criteria:

    If of childbearing potential - agrees to use one of the accepted contraceptive regimens from at least 28 days prior to the first drug administration, during the study and for at least 60 days after the last dose. An acceptable method of contraception includes one of the following:
    * Abstinence from heterosexual intercourse
    * Systemic contraceptives (birth control pills, injectable/implant/insertable hormonal birth control products, transdermal patch)
    * Intrauterine device (with or without hormones)
    * Condom with spermicide or condom with intravaginally applied spermicide If of non-childbearing potential - should be surgically sterile (i.e. has undergone complete hysterectomy, bilateral oophorectomy, or tubal ligation) or in a menopausal state (at least one year without menses)
20. A male volunteer with sexual partners who are pregnant, possibly pregnant, or who could become pregnant must meet the following criteria:

    * Participant is unable to procreate, defined as surgically sterile (i.e. has undergone a vasectomy within the last 6 months)
    * Participant agrees to use one of the accepted contraceptive regimens from first drug administration until 3 months after the last drug administration. An acceptable method of contraception includes one of the following:

A. Abstinence from heterosexual intercourse. B. Condom with spermicide or condom with intravaginally applied spermicide

Exclusion Criteria:

1. Pain due to other causes different than cancer related pain
2. Previous serious adverse event or hypersensitivity to cannabis or cannabinoids
3. Inability to understand and comply with the instructions of the study
4. Presence of significant cardiac disease (history of unstable ischemic heart disease, heart failure, severe and uncontrolled hypertension) that, in the opinion of the investigator, would put the patient at risk of a clinically significant arrhythmia or myocardial infarction
5. Current substance use disorder according to the Diagnostic and Statistical Manual of Mental Disorders Fifth Edition (DSM 5)
6. Life-time history of dependence on cannabis or diagnosis of cannabis use disorder (CUD) according to the DSM 5
7. Life-time history of DSM 5 schizophrenia, bipolar disorder, or previous psychosis with or intolerance to cannabinoids
8. Current or history of suicidal ideation according to the Columbia-Suicide Severity Rating Scale (C-SSRS) approved by FDA in 2012 for assessment of suicidal ideation and behaviour
9. Pregnant, breast-feeding or female patients of child-bearing potential and male patients whose partner is of child-bearing potential, unless willing to ensure that they or their partner use effective contraception, for example, oral contraception, double barrier, intra-uterine device, during the study and for three months thereafter (however, a male condom should not be used in conjunction with a female condom as this may not prove effective)
10. Hepatic impairment (aspartate aminotransferase more than three times normal) or renal function impairment (serum creatinine level \>133 µmol/L, Estimated Glomerular Filtration Rate (eGFR) \<60)
11. Cognitive impairment according to MDAS and MiniCog
12. Patient has any planned clinical interventions that would affect their pain (e.g., chemotherapy or radiation therapy where, in the clinical judgment of the investigator, these would be expected to affect pain)
13. Cancer treatments that may interfere with stability of treatment (epidural, radiotherapy, chemotherapy, hormonal therapy)
14. Epilepsy
15. The patient is currently using or has used cannabinoid based medications within 30 days of study entry and is unwilling to abstain for the duration of the study
16. Positive urine drug screen for cannabinoids and other potential abuse substances (e.g. alcohol, cocaine, amphetamines and methamphetamines, hallucinogens, unprescribed opioids and ketamine, etc.)
17. Participation in another clinical trial within 30 days of enrolment in our trial",False,ALL,18 Years,,
154408,NCT06466941,2027-07-01,ESTIMATED,"The goal of this observational study is to learn about how regional anesthesia (numbing medication) affects pain in patients with different psychosocial phenotypes such as different levels of concern about pain, sleep issues, and anxiety, who are having surgery.

The main questions are:

1. Do psychosocial factors such as concerns about pain, sleep, anxiety affect the effectiveness of regional anesthesia?
2. Do psychosocial factors and regional anesthesia affect the amount of opioids used after surgery?
3. Do psychosocial factors and regional anesthesia affect development of chronic postsurgical pain?","A patient's psychological profile importantly modulates pain severity, and the overall experience and impact of pain. For instance, catastrophic thinking about pain, including magnification, rumination, and helplessness, is associated with both greater pain severity and impact.

Over the years, regional anesthesia has become an integral part of multimodal pain management for many surgeries. Regional anesthesia (epidural and peripheral nerve blocks) to be associated with superior pain control, reduced time to return of bowel function, shorter intraoperative times, fewer side effects and complications, earlier ambulation and functional exercise capacity post-discharge, lower in-hospital mortality, reduced length-of-stay, improved patient satisfaction, and fewer readmissions.

The investigators aim to use of validated psychosocial surveys and semi-structured interviews to understand the phenotype of patients who will benefit the most from regional anesthesia. The investigators also aim to understand how different patient phenotypes and regional anesthesia affect perioperative opioid consumption, and development of chronic postsurgical pain.","['Acute Pain', 'Chronic Post Operative Pain', 'Opioid Use']",OBSERVATIONAL,"Inclusion Criteria:

* Age ≥ 18
* English speaking
* Surgical or procedural patient who will be admitted postoperatively
* Willingness to answer psychosocial survey and/or audio recorded semi-structured interview

Exclusion Criteria:

-Cognitive dysfunction that precludes communication",False,ALL,18 Years,,"[{'pmid': '33426669', 'type': 'BACKGROUND', 'citation': 'Chen YK, Boden KA, Schreiber KL. The role of regional anaesthesia and multimodal analgesia in the prevention of chronic postoperative pain: a narrative review. Anaesthesia. 2021 Jan;76 Suppl 1(Suppl 1):8-17. doi: 10.1111/anae.15256.'}, {'pmid': '33452600', 'type': 'BACKGROUND', 'citation': 'Schreiber KL, Zinboonyahgoon N, Flowers KM, Hruschak V, Fields KG, Patton ME, Schwartz E, Azizoddin D, Soens M, King T, Partridge A, Pusic A, Golshan M, Edwards RR. Prediction of Persistent Pain Severity and Impact 12 Months After Breast Surgery Using Comprehensive Preoperative Assessment of Biopsychosocial Pain Modulators. Ann Surg Oncol. 2021 Sep;28(9):5015-5038. doi: 10.1245/s10434-020-09479-2. Epub 2021 Jan 15. Erratum In: Ann Surg Oncol. 2021 Dec;28(Suppl 3):896. doi: 10.1245/s10434-021-10658-y.'}, {'pmid': '16698416', 'type': 'BACKGROUND', 'citation': 'Kehlet H, Jensen TS, Woolf CJ. Persistent postsurgical pain: risk factors and prevention. Lancet. 2006 May 13;367(9522):1618-25. doi: 10.1016/S0140-6736(06)68700-X.'}]"
